source, destination, distance
123, 123, 0
123, 24004, 1
123, 29788, 3
123, 100071, 3
123, 105881, 2
123, 115839, 3
123, 157662, 2
123, 193044, 2
123, 194644, 2
123, 216892, 2
123, 226940, 3
123, 250065, 2
123, 278055, 2
123, 308751, 2
123, 324462, 2
123, 355012, 3
123, 358988, 1
123, 379951, 1
123, 384065, 3
123, 397035, 2
123, 414522, 1
123, 446014, 3
123, 488690, 2
123, 497479, 3
123, 572693, 3
123, 588339, 2
123, 610028, 3
123, 680927, 2
123, 684347, 3
123, 713382, 2
123, 715009, 3
123, 791075, 2
123, 844661, 3
123, 910003, 2
24004, 123, 1
24004, 24004, 0
24004, 29788, 2
24004, 100071, 2
24004, 105881, 1
24004, 115839, 2
24004, 157662, 1
24004, 193044, 1
24004, 194644, 1
24004, 216892, 1
24004, 226940, 2
24004, 250065, 1
24004, 278055, 1
24004, 308751, 1
24004, 324462, 1
24004, 355012, 2
24004, 358988, 1
24004, 379951, 1
24004, 384065, 2
24004, 397035, 1
24004, 414522, 1
24004, 446014, 2
24004, 488690, 1
24004, 497479, 2
24004, 572693, 2
24004, 588339, 1
24004, 610028, 2
24004, 680927, 1
24004, 684347, 2
24004, 713382, 1
24004, 715009, 2
24004, 791075, 1
24004, 844661, 2
24004, 910003, 1
29788, 123, Infinity
29788, 24004, Infinity
29788, 29788, 0
29788, 100071, Infinity
29788, 105881, Infinity
29788, 115839, Infinity
29788, 157662, Infinity
29788, 193044, Infinity
29788, 194644, Infinity
29788, 216892, Infinity
29788, 226940, Infinity
29788, 250065, Infinity
29788, 278055, Infinity
29788, 308751, Infinity
29788, 324462, Infinity
29788, 355012, Infinity
29788, 358988, Infinity
29788, 379951, Infinity
29788, 384065, Infinity
29788, 397035, Infinity
29788, 414522, Infinity
29788, 446014, Infinity
29788, 488690, Infinity
29788, 497479, Infinity
29788, 572693, Infinity
29788, 588339, Infinity
29788, 610028, Infinity
29788, 680927, Infinity
29788, 684347, Infinity
29788, 713382, Infinity
29788, 715009, Infinity
29788, 791075, Infinity
29788, 844661, Infinity
29788, 910003, Infinity
100071, 123, Infinity
100071, 24004, Infinity
100071, 29788, Infinity
100071, 100071, 0
100071, 105881, Infinity
100071, 115839, Infinity
100071, 157662, Infinity
100071, 193044, Infinity
100071, 194644, Infinity
100071, 216892, Infinity
100071, 226940, Infinity
100071, 250065, Infinity
100071, 278055, Infinity
100071, 308751, Infinity
100071, 324462, Infinity
100071, 355012, Infinity
100071, 358988, Infinity
100071, 379951, Infinity
100071, 384065, Infinity
100071, 397035, Infinity
100071, 414522, Infinity
100071, 446014, Infinity
100071, 488690, Infinity
100071, 497479, Infinity
100071, 572693, Infinity
100071, 588339, Infinity
100071, 610028, Infinity
100071, 680927, Infinity
100071, 684347, Infinity
100071, 713382, Infinity
100071, 715009, Infinity
100071, 791075, Infinity
100071, 844661, Infinity
100071, 910003, Infinity
105881, 123, 2
105881, 24004, 1
105881, 29788, 1
105881, 100071, 1
105881, 105881, 0
105881, 115839, 1
105881, 157662, 2
105881, 193044, 2
105881, 194644, 2
105881, 216892, 2
105881, 226940, 1
105881, 250065, 2
105881, 278055, 2
105881, 308751, 2
105881, 324462, 2
105881, 355012, 1
105881, 358988, 2
105881, 379951, 2
105881, 384065, 1
105881, 397035, 2
105881, 414522, 2
105881, 446014, 1
105881, 488690, 2
105881, 497479, 1
105881, 572693, 1
105881, 588339, 2
105881, 610028, 1
105881, 680927, 2
105881, 684347, 1
105881, 713382, 2
105881, 715009, 1
105881, 791075, 2
105881, 844661, 1
105881, 910003, 2
115839, 123, Infinity
115839, 24004, Infinity
115839, 29788, Infinity
115839, 100071, Infinity
115839, 105881, Infinity
115839, 115839, 0
115839, 157662, Infinity
115839, 193044, Infinity
115839, 194644, Infinity
115839, 216892, Infinity
115839, 226940, Infinity
115839, 250065, Infinity
115839, 278055, Infinity
115839, 308751, Infinity
115839, 324462, Infinity
115839, 355012, Infinity
115839, 358988, Infinity
115839, 379951, Infinity
115839, 384065, Infinity
115839, 397035, Infinity
115839, 414522, Infinity
115839, 446014, Infinity
115839, 488690, Infinity
115839, 497479, Infinity
115839, 572693, Infinity
115839, 588339, Infinity
115839, 610028, Infinity
115839, 680927, Infinity
115839, 684347, Infinity
115839, 713382, Infinity
115839, 715009, Infinity
115839, 791075, Infinity
115839, 844661, Infinity
115839, 910003, Infinity
157662, 123, 2
157662, 24004, 1
157662, 29788, 3
157662, 100071, 3
157662, 105881, 2
157662, 115839, 3
157662, 157662, 0
157662, 193044, 2
157662, 194644, 2
157662, 216892, 2
157662, 226940, 3
157662, 250065, 2
157662, 278055, 2
157662, 308751, 2
157662, 324462, 2
157662, 355012, 3
157662, 358988, 2
157662, 379951, 2
157662, 384065, 3
157662, 397035, 2
157662, 414522, 2
157662, 446014, 3
157662, 488690, 2
157662, 497479, 3
157662, 572693, 3
157662, 588339, 1
157662, 610028, 3
157662, 680927, 2
157662, 684347, 3
157662, 713382, 2
157662, 715009, 3
157662, 791075, 2
157662, 844661, 3
157662, 910003, 2
193044, 123, 2
193044, 24004, 1
193044, 29788, 3
193044, 100071, 3
193044, 105881, 2
193044, 115839, 3
193044, 157662, 2
193044, 193044, 0
193044, 194644, 1
193044, 216892, 2
193044, 226940, 3
193044, 250065, 2
193044, 278055, 2
193044, 308751, 2
193044, 324462, 2
193044, 355012, 3
193044, 358988, 2
193044, 379951, 1
193044, 384065, 3
193044, 397035, 2
193044, 414522, 2
193044, 446014, 3
193044, 488690, 2
193044, 497479, 3
193044, 572693, 3
193044, 588339, 2
193044, 610028, 3
193044, 680927, 2
193044, 684347, 3
193044, 713382, 2
193044, 715009, 3
193044, 791075, 2
193044, 844661, 3
193044, 910003, 2
194644, 123, 2
194644, 24004, 1
194644, 29788, 3
194644, 100071, 3
194644, 105881, 2
194644, 115839, 3
194644, 157662, 2
194644, 193044, 2
194644, 194644, 0
194644, 216892, 2
194644, 226940, 3
194644, 250065, 2
194644, 278055, 2
194644, 308751, 2
194644, 324462, 2
194644, 355012, 3
194644, 358988, 2
194644, 379951, 1
194644, 384065, 3
194644, 397035, 2
194644, 414522, 2
194644, 446014, 3
194644, 488690, 2
194644, 497479, 3
194644, 572693, 3
194644, 588339, 2
194644, 610028, 3
